348,Al. Powstania Warszawskiego,a
349,Ptaszyckiego,p
350,Białoprądnicka,b
351,Górnickiego,g
352,Kotlarska,k
353,Buków,b
354,Burów,b
355,Chorowice,c
356,Kulerzów,k
357,Wołowice,w
358,Grabie,g
359,Merkuriusza Polskiego,m
360,Banachiewicza,b
361,Domagały,d
362,Wieliczka,w
363,Jasnogórska,j
364,Nadbrzezie,n
365,Dąbrowskiej,d
366,Beskidzka,b
367,Klonowica,k
368,Siostry Faustyny,s
369,Fredry,f
370,Tischnera,t
371,Czerwiakowskiego,c
372,Biskupińska,b
373,Zagórzyce Stare,z
374,Zagórzyce Dworskie,z
375,Bobrzyńskiego,b
376,Św. Idziego,ś
377,Łuczanowicka,ł
378,Zielna,z
379,Herberta,h
380,Landaua,l
381,Korpala,k
382,Kużnicy Kołłątajowskiej,k
383,Niewodniczańskiego,n
384,Lubostroń,l
385,Centralna,c
386,Ciepłownicza,c
387,Chełmońskiego,c
388,Lipowskiego,l
389,Darwina,d
390,Popiełuszki,p
391,Botewa,b
392,Bartla,b
393,Łanowa,ł
394,Rzebika,r
395,Motyla,m
396,Goszczyńskiego,g
397,Klimeckiego,k
398,Brandla,b
399,Blokowa,b
400,Bunscha,b
401,Luborzyca,l
402,Wola Luborzycka,w
403,Goszyce,g
404,Skrzeszowice,s
405,Prusy,p
406,Sulechów,s
407,Kocmyrzów,k
408,Dojazdów,d
409,Sodfiny,s
410,Głęboka,g
411,Wróżenicka,w
412,Spiechowicza,s
413,Zabłocie,z
414,Jodłowa,j
415,Rzemieślnicza,r
416,Skrzyneckiego,s
417,Borelowskiego,b
418,Modlnica,m
419,Szyce,s
420,Wielka Wieś,w
421,Biały Kościół,b
422,Murownia,m
423,Czajowice,c
424,Bębło,b
425,Będkowice,b
426,Tomaszowice,t
427,Trojadyn,t
428,Senatorska,s
429,Powstańców Śląskich,p
430,Turowicza,t
431,Polonijna,p
432,Serkowskiego,s
433,Warneńczyka,w
434,Wojska Polskiego,w
435,Sikorskiego,s
436,Obwodnica autostradowa,o
437,Wita Stwosza,w
438,Nawojowa Góra,n
439,Pisary,p
440,Dubie,d
441,Radwanowice,r
442,Brzezinka,b
443,Kobylany,k
444,Więckowice,w
445,Brzezie,b
446,Ujazd,u
447,Podgórska,p
448,Powiśle,p
449,Lea,l
450,Zielińskiego,z
451,Weissa,w
452,Czerwieńskiego,c
453,Jaremy,j
454,Marszowiec,m
455,Grunwaldzka,g
456,Wieliczka Dembowskiego,w
457,Słowackiego,s
458,Wieliczka Asnyka,w
459,Rzozów,r
460,Gołuchowice,g
461,Polanka Hallera,p
462,Borek Szlachecki,b
463,Zelczyna,z
464,Wielkie Drogi,w
465,Jaśkowice,j
466,Łepkowskiego,ł
467,Kalinowskiego,k
468,Bohomolca,b
469,Głowackiego,g
470,Kokotów,k
471,Czarnochowice,c
472,Cystersów,c
473,Brodowicza,b
474,Wiatra,w
475,Sawy-Calińskiego,s
476,Pysocice,p
477,Stopki,s
478,Tunel,t
479,Ujastek Mogilski,u
480,Czułówek,c
481,Rusocice,r
482,Kłokoczyn,k
483,Ratanice,r
484,Przeginia Narodowa,p
485,Przeginia Duchowna,p
486,Łojasiewicza,ł
487,Niepokalanej Marii Panny,n
488,Dębowa,d
489,Siwka,s
490,Krzysztoforzyce,k
491,Puszkarska,p
492,Gminna,g
493,Wysłouchów,w
494,Autostrada,a
495,Zielony Most,z
496,Kuklińskiego,k
497,Herlinga-Grudzińskiego,h
498,Owczary,o
499,Wiktorowice,w
500,Zabierzów Bocheński,z
501,Wola Batorska,w
502,Brzegi,b
503,Ochmanów,o
504,Zakrzów,z
505,Podłęże,p
506,Staniątki,s
507,Wieliczka Piłsudskiego,w
508,Ratajów,r
509,Niedźwiedź,n
510,Polanowice,p
511,Marszowice,m
512,Wysiołek Luborzycki,w
513,Winnicka,w
514,Książniczki,k
515,Kończyce,k
516,Zarzecze,z
517,Rybna,r
518,Wimmera,w
519,Grabska,g
520,Dąbrowa Szlachecka,d
521,28 lipca 1943,2
880,Do Sanktuarium Bożego Miłosierdzia,d
881,Zabawa,z
882,Mała Wieś,m
883,Sułków,s
884,Skawina Energetyków,s
885,Ochodza,o
886,Al. Armii Krajowej,a
887,Płk. Dąbka,p
888,Al. Beliny-Prażmowskiego,a
889,Al. Kijowska,a
890,Fieldorfa-Nila,f
891,Władysława Łokietka,w
892,Batalionu  Skała  AK,b
893,Al. Andersa,a
894,Al. Kasztanowa,a
895,Al. Focha,a
896,Grota-Roweckiego,g
897,Morcinka,m
898,Władysława Jagiełły,w
899,Legionów Piłsudskiego,l
900,Al. Bora-Komorowskiego,a
901,Al. Skrzyneckiego,a
902,Al. Powstańców Śląskich,a
903,Batorego,b
904,Garbarska,g
905,Śliwiaka,ś
906,Leśmiana,l
907,Bogucicka,b
