Klimeckiego,Zabłocie
Kaczorówka,Os.Łokietka
Wańkowicza,Krasnowolskiego
Burów I,Burów
Tomaszowice I,Tomaszowice Wedonka
Włosań,Włosań Krzyżówka
Piasta Kołodzieja,Popielidów
Luborzyca,Wola Luborzycka Działki
Kostrze Szkoła,Fort Bodzów
Grottgera,Nowy Kleparz
Krzyszkowice Różana,Wielicka Granica Miasta
Skawina  Piłsudskiego,Skawina Podbory
Makowskiego,Batalionu  Skała  AK
Skawina Korabniki,Brzyczyna
Aleja 29 Listopada,Olszecka
Nowa Wieś,Nowa Wieś Kapliczka
Tuchowska,Bochenka
Dojazdów PKS,Dojazdów Działki
Truskawkowa,Kąkolowa
Suche Stawy,Klasztorna
Wieliczka Rynek,Wieliczka Kopalnia Soli
Winna Góra,Aleksandrowice Osiedle
Saska,Stoczniowców
Grabie Dom Kultury,Grabie Szczurów
Pasternik,Droga do Rząski
Łuczyce,Łuczyce Las
Bronowice Wielkie,Jasnogórska
Rzozów PKP,Radziszów Kładka
Warchałowskiego,Tretówka
Suchy Jar,Droga do Kujaw
Węgrzynowice Centrum,Barwna
Nowy Prokocim,Teligi
Kocmyrzowska,Teatr Ludowy
Modlniczka Mała,Rząska
Brzeźnica Pasieka,Brzeźnica Kuźnia
Radziszów Kamionna,Skawina Nad Potokiem
Luborzyca,Wysiołek Luborzycki
Modlniczka Trzcie,Brzezie Działki
Krzęcin Kapliczka,Krzęcin Szkoła
Podstawki,Opatkowice Krzyżówka
Nowy Kleparz,Plac Inwalidów
Meissnera,Wieczysta
Wyciąże,Szymańskiego
Lusina Szkoła,Lusina Spacerowa
Przeginia Duchowna,Rybna Granica
Radziszów Zacisze,Radziszów Kładka
Włosań Krzyżówka,Włosań
Olszecka,Majora
Konary,Konary I
Balice Autostrada,Balice Szkoła
Branice Na Dole,Branice Pagórek
Węgrzynowice Centrum,Węgrzynowice
Zielona,Bolechowice I
Królowej Jadwigi,Panieńskich Skał
Mogilany Ośrodek Zdrowia,Mogilany Wiadukt
Czułów,Sanka Skrzyżowanie
DH Wanda,Os.Na Lotnisku
Kabel,Sułkowskiego
Leroy Merlin,Modlniczka Trzcie
Wydział Biologii UJ,Bobrzyńskiego
Krzęcin Cmentarz,Krzęcin Sklep
Skawina Cmentarz,Skawina Rynek
Pasternik Cmentarz,Katowicka
Bardosa,Suche Stawy
Wola Zachariaszowska,Zakońce
Uniwersytet Jagielloński,Cracovia
Lindego,Bronowice Małe
Swoszowice Osiedle,Swoszowice Pawilon
Rzemieślnicza,Łagiewniki
Leszka Białego,Os.Na Stoku Szkoła
Na Załęczu,Na Załęczu Szkoła
Garlica Murowana,Podskale
Wieliczka CPN,Wielicka Granica Miasta
Błonia Kościelnickie,Janówka
Batowice I,Batowice Kapliczka
Wola Luborzycka Las,Wola Luborzycka
Cracovia Błonia,Cracovia
Dworzec Towarowy,Prądnicka
Niepołomice Kolejowa,Niepołomice Moczydło
Balice Szkoła,Balice OSP
Michałowice Ośrodek Zdrowia,Michałowice Ujęcie Wody
Korona,Plac Wolnica
Św. Wawrzyńca,Plac Bohaterów Getta
Politechnika,Dworzec Główny
Skawina Ajka,Skawina Cmentarz
Biały Kościół,Wielka Wieś
Taklińskiego,Sidzina Olszyny
Brzozówka Sklep,Przybysławice I
Zagrody,Lusina Dolna
Rzebika,Mały Płaszów
Przeginia Narodowa,Czernichów Bór
Meksyk,Brama nr 5
Jeżowa,Albatrosów
Cracovia,Uniwersytet Jagielloński
Chorowice,Kulerzów Wąwóz
Bulwarowa Ogródki Działkowe,Bulwarowa
Architektów,Os.Na Stoku
Prokocim,Wlotowa
Swoszowice Poczta,Pytlasińskiego
Politechnika,Uniwersytet Ekonomiczny
Raciborowice I,Raciborowice
Wrony,Baczyńskiego
Pędzichów,Basztowa LOT
Chałupki I,Chałupki
Droga do Branic,Zakład Przeróbki
Wiślicka,Bora-Komorowskiego
Biprostal,Kawiory
Uniwersytet Rolniczy,Opolska Estakada
Żyzna,Sidzina Olszyny
Ojcowska Dworek,Katowicka
Dożynkowa,Siewna
Mydlniki Granica Miasta,Mydlniki Stawy
Ratanice I,Ratanice
Leszka Białego,Jana Kazimierza
Borek Fałęcki,Góra Borkowska
Goszyce,Wola Luborzycka Las
Tonie Kąty,Pękowice
Nowa Wieś Kapliczka,Kaszów II
Brzozówka Sklep,Brzozówka
Cmentarz Rakowicki,Rakowicka
Przeginia Duchowna Bar,Przeginia Narodowa II
Wróblowice Rozwidlenie,Ukraina
Opatkowice Krzyżówka,Podstawki
Plac Inwalidów,Urzędnicza
Wołowice Sklep,Wołowice Kapliczka
Rączna Podlas,Rączna Dzikowiec
Wyźrał Szkoła,Wyźrał Wielka Droga
Resztówka,Zabłocie Kościelnickie
Os.Kalinowe,Kupały
Oleandry,Cracovia
Skawina Korabniki,Petrażyckiego
Michałowice II,Warszówka
Droga do Niegoszowic,Rudawa
Skawina  Piłsudskiego,Skawina  Elektrownia
Rondo Ofiar Katynia,Bronowice Wiadukt
